category,family,arm,seed,lambda_value,lambda_anchor,first_stage_r2,direction,true_elasticity,final_estimated_elasticity,final_abs_bias,final_regret,regret_pct_of_oracle
CSO,exploration,controlled_variance,0,0.1,0.0,0.59,promo,-1.51,-0.8739,0.6361,4525.95,48.92
CSO,causal,twosls,0,0.1,0.0,0.59,promo,-1.51,-1.631,0.121,873.05,9.44
CSO,baseline,greedy,0,0.2,0.0,0.59,promo,-1.51,-0.4078,1.1022,4308.4,46.57
CSO,exploration,controlled_variance,0,0.2,0.0,0.59,promo,-1.51,-0.9484,0.5616,4602.29,49.74
CSO,causal,twosls,0,0.2,0.0,0.59,promo,-1.51,-1.4999,0.0101,211.15,2.28
CSO,baseline,greedy,0,0.3,0.0,0.59,promo,-1.51,-0.648,0.862,4400.35,47.56
CSO,exploration,controlled_variance,0,0.3,0.0,0.59,promo,-1.51,-1.0094,0.5006,4679.79,50.58
CSO,causal,twosls,0,0.3,0.0,0.59,promo,-1.51,-1.6175,0.1075,330.21,3.57
CSO,baseline,greedy,0,0.4,0.0,0.59,promo,-1.51,-0.7454,0.7646,4493.68,48.57
CSO,exploration,controlled_variance,0,0.4,0.0,0.59,promo,-1.51,-1.0498,0.4602,4759.12,51.44
CSO,causal,twosls,0,0.4,0.0,0.59,promo,-1.51,-2.0,0.49,648.1,7.0
CSO,baseline,greedy,0,0.6,0.0,0.59,promo,-1.51,-0.926,0.584,4687.58,50.67
CSO,exploration,controlled_variance,0,0.6,0.0,0.59,promo,-1.51,-1.2042,0.3058,4718.65,51.0
CSO,causal,twosls,0,0.6,0.0,0.59,promo,-1.51,-2.0,0.49,909.98,9.84
